// Basic input file for Entity Finder Tester
//
// FORMAT:
// Two line formats are supported:
// 1) Label | Input | Output
//    where:
//    Label  = a number or text string used to identify the test case
//    Input  = the string used as input to the Entity Finder
//    Output = the string expected as output from the Entity Finder
// 2) <FILE> | Path
//    where:
//    <FILE> = a keyword indicating that the next argument is a filename
//    Path   = a fully qualified path to a text file used as input.
//             OR a filename for file located in same folder as TestEntityFinder.dat
//             NOTE: The text file must also satisfy these format requirements
//
//////////////////////////////////////////////////////////////////////////////

// Tests of trimming based on keywords
Upper Case Substring_1|text. Lender Is Located In Charlottetown. BAHAMAS NATIONAL BANK plus more|BAHAMAS NATIONAL BANK

Upper Case Substring_2|lower case BAHAMAS NATIONAL BANK. Located On St. Croix plus more|BAHAMAS NATIONAL BANK

// Trim trailing periods
Company with Trailing Suffix|lower case Bahamas National Bank F.S.B. plus more|Bahamas National Bank F.S.B.

Company without Trailing Suffix|lower case Bahamas National Bank. plus more|Bahamas National Bank

// Trim embedded address
Embedded Address1|John Smith of 123 Main Any WI 53777 and Mary Smith of 123 Main Any WI 53777|John Smith ; and Mary Smith

Embedded Address2|John Smith residing at 123 Main Any WI 53777 and Mary Smith, his wife residing at 123 Main Any WI 53777|John Smith ; and Mary Smith, his wife

Embedded Address3|John Smith whose address is 123 Main Any WI 53777 and Mary Smith, husband and wife, whose address is 123 Main Any WI 53777|John Smith ; and Mary Smith, husband and wife

Embedded Address4|John Smith 123 Main Any WI 53777 and Mary Smith 123 Main Any WI 53777 and Peter Smith|John Smith ; and Mary Smith ; and Peter Smith

Embedded Address5|John Smith and Mary Smith 123 Main Any WI 53777 and Peter Smith|John Smith and Mary Smith ; and Peter Smith

Embedded Address6|John Smith P.O. Box 123 Any WI 53777 and Mary Smith P.O. Box 123 Any WI 53777|John Smith ; and Mary Smith

Embedded Address7|John Smith P.0. Box 123 Any WI 53777 and Mary Smith P.0. Box 123 Any WI 53777|John Smith ; and Mary Smith

Embedded Address8|John Smith and Mary Smith, husband and wife, C/O 123 Main Any WI 53777|John Smith and Mary Smith, husband and wife

Trailing Address1|John Smith and Mary Smith Address:|John Smith and Mary Smith

Trailing Address2|John Smith and Mary Smith AddrgSs*|John Smith and Mary Smith

// Add missing space
Missing Space1|by JOHN SMITHand MARY SMITH or something|JOHN SMITH and MARY SMITH

Missing Space2|by JOHN SMITH andMARY SMITH or something|JOHN SMITH and MARY SMITH
